epoch,accuracy,loss,val_accuracy,val_loss
0,0.45641523599624634,0.10070406645536423,0.4563503563404083,0.10086531937122345
1,0.45233577489852905,0.10106787830591202,0.45686131715774536,0.10067203640937805
2,0.4490916430950165,0.10154345631599426,0.4364233613014221,0.10143374651670456
3,0.451695054769516,0.10123246163129807,0.43321168422698975,0.10396462678909302
4,0.4539010524749756,0.10087364166975021,0.4554014503955841,0.10170663148164749
5,0.45430657267570496,0.10057814419269562,0.4524087607860565,0.10135246068239212
6,0.4512408673763275,0.10128015279769897,0.4435766339302063,0.10462962836027145
7,0.4522303342819214,0.10088837146759033,0.45452556014060974,0.1003303974866867
8,0.45497971773147583,0.10051856935024261,0.4500730037689209,0.10069850087165833
9,0.45731550455093384,0.10032539069652557,0.45788320899009705,0.10042630136013031
10,0.45372262597084045,0.10082653909921646,0.4522627592086792,0.10064465552568436
11,0.45158150792121887,0.10110663622617722,0.46138685941696167,0.10027686506509781
12,0.44984591007232666,0.10153055191040039,0.4621167778968811,0.10053730010986328
13,0.4514274001121521,0.10113593935966492,0.46080291271209717,0.0998077243566513
14,0.4565693438053131,0.10050986707210541,0.40832117199897766,0.10709822922945023
15,0.4557177722454071,0.10058795660734177,0.46262773871421814,0.10030091553926468
16,0.4558556377887726,0.1004704087972641,0.44401460886001587,0.10131021589040756
17,0.4544687867164612,0.10056347399950027,0.4664963483810425,0.10077940672636032
18,0.45566099882125854,0.10056188702583313,0.45138686895370483,0.10045281052589417
19,0.455287903547287,0.10050888359546661,0.45788320899009705,0.09967554360628128
20,0.4581589698791504,0.10025546699762344,0.45430657267570496,0.10041200369596481
21,0.45621249079704285,0.1003265231847763,0.44408759474754333,0.10131776332855225
22,0.4535685181617737,0.10092343389987946,0.4337226152420044,0.10441279411315918
23,0.4591727554798126,0.10032385587692261,0.44306570291519165,0.10268530994653702
24,0.45477697253227234,0.10068000108003616,0.44759124517440796,0.10250771045684814
25,0.4540308117866516,0.10060286521911621,0.46875911951065063,0.1003151386976242
26,0.45339009165763855,0.10078983008861542,0.44583940505981445,0.1011136919260025
27,0.452927827835083,0.10090126842260361,0.4621167778968811,0.10019174218177795
28,0.4578588902950287,0.10010877251625061,0.445766419172287,0.10323707014322281
29,0.45851582288742065,0.10026184469461441,0.45686131715774536,0.1000116616487503
30,0.45873478055000305,0.10013580322265625,0.4481021761894226,0.10102195292711258
31,0.4521329998970032,0.10123749822378159,0.4465693533420563,0.10171297937631607
32,0.45616382360458374,0.100342757999897,0.4520438015460968,0.10290069878101349
33,0.4565368890762329,0.10013710707426071,0.47051095962524414,0.10029754042625427
34,0.45806974172592163,0.100004181265831,0.45313867926597595,0.10329020768404007
35,0.4546877443790436,0.10065431147813797,0.4137956202030182,0.10725302249193192
36,0.4562205970287323,0.10046538710594177,0.4418248236179352,0.10243791341781616
37,0.45429036021232605,0.10056404769420624,0.4610948860645294,0.10079702734947205
38,0.45660990476608276,0.10023441910743713,0.45372262597084045,0.10111500322818756
39,0.4579399824142456,0.10005486011505127,0.44642335176467896,0.10144924372434616
40,0.4555879831314087,0.10067566484212875,0.4658394157886505,0.10038753598928452
41,0.4574776887893677,0.10005395114421844,0.46890512108802795,0.09974801540374756
42,0.45600974559783936,0.10026517510414124,0.42291972041130066,0.10511312633752823
43,0.4527494013309479,0.10072146356105804,0.4563503563404083,0.10023822635412216
44,0.46075424551963806,0.09960203617811203,0.4545985460281372,0.09998016059398651
45,0.4579399824142456,0.10020995140075684,0.4473722577095032,0.10329128056764603
46,0.4575750231742859,0.10052307695150375,0.461532860994339,0.09999539703130722
47,0.45682886242866516,0.1002616286277771,0.4610948860645294,0.09949132055044174
48,0.4594403803348541,0.09997838735580444,0.45430657267570496,0.10081858932971954
49,0.459708034992218,0.09979629516601562,0.46299269795417786,0.09950677305459976
